tool	kittel 	kittel 	kittel 	kittel 
run set	default	default	default	default
../tpdb-54833d03619e/	status	cputime (s)	walltime (s)	memUsage
C/AProVE_memory_unsafe/svcomp_cstrchr_unsafe.c	false(termination)	0.426254112	0.4247905658558011	8499200
C/AProVE_memory_unsafe/svcomp_cstrcpy_unsafe.c	false(termination)	0.252076473	0.2516372026875615	8015872
C/AProVE_memory_unsafe/svcomp_cstrlen_unsafe.c	false(termination)	0.349818032	0.34890116751194	8413184
C/AProVE_memory_unsafe/svcomp_cstrncat_unsafe.c	TIMEOUT	300.683334744	300.7102587344125	85229568
C/AProVE_memory_unsafe/svcomp_cstrncpy_unsafe.c	TIMEOUT	300.684038039	300.7071974100545	86261760
C/AProVE_memory_unsafe/svcomp_cstrpbrk_unsafe.c	false(termination)	0.966153235	0.9626603787764907	8364032
C/AProVE_memory_unsafe/svcomp_delete_alloca_unsafe.c	false(termination)	0.400570663	0.3992320951074362	8257536
C/AProVE_memory_unsafe/svcomp_delete_unsafe.c	false(termination)	0.368165326	0.36715669743716717	8007680
C/AProVE_memory_unsafe/svcomp_diff_unsafe.c	true	1.163269063	1.1583972414955497	8028160
C/AProVE_memory_unsafe/svcomp_insertion_sort_unsafe.c	true	0.489398801	0.48798695858567953	7860224
C/AProVE_memory_unsafe/svcomp_insertionsort_unsafe.c	true	0.389572603	0.3880131570622325	7749632
C/AProVE_memory_unsafe/svcomp_java_BubbleSort_unsafe.c	true	0.437833277	0.4361019115895033	7884800
C/AProVE_memory_unsafe/svcomp_knapsack_alloca_unsafe.c	true	0.543740858	0.5416275728493929	8409088
C/AProVE_memory_unsafe/svcomp_knapsack_unsafe.c	true	0.594147432	0.591982870362699	8015872
C/AProVE_memory_unsafe/svcomp_lis_unsafe.c	true	0.830008878	0.8264208007603884	8413184
C/AProVE_memory_unsafe/svcomp_mult_array_unsafe.c	true	0.841224258	0.8380985436961055	8511488
C/AProVE_memory_unsafe/svcomp_reverse_array_alloca_unsafe.c	false(termination)	1.126030063	1.1207749089226127	8404992
C/AProVE_memory_unsafe/svcomp_reverse_array_unsafe.c	false(termination)	1.203701023	1.1982805477455258	8413184
C/AProVE_memory_unsafe/svcomp_selection_sort_unsafe.c	true	0.388312018	0.386950776912272	7884800
C/AProVE_memory_unsafe/svcomp_selectionsort_unsafe.c	true	0.328881155	0.3279022043570876	7745536
C/AProVE_memory_unsafe/svcomp_stroeder1_unsafe.c	true	0.241053465	0.24035583063960075	7876608
C/AProVE_memory_unsafe/svcomp_stroeder2_unsafe.c	false(termination)	0.462842455	0.46146546117961407	7733248
C/AProVE_numeric/Avg_true-termination.c	true	0.65746761	0.6554188625887036	7856128
C/AProVE_numeric/Binomial_true-termination.c	true	0.777027196	0.7739913389086723	8015872
C/AProVE_numeric/Et1_true-termination.c	true	0.49793572	0.4962850511074066	7729152
C/AProVE_numeric/Et2_true-termination.c	TIMEOUT	300.682141963	300.70295075699687	130387968
